"City","County","Cases"
"Lake City","Suwannee","1"
"Lake Hamilton","Polk","1"
"Morriston","Levy","1"
"Paxton","Walton","1"
"Pensacola Beach","Santa Rosa","1"
"Wimauma","Manatee","1"
"Lealman","Pinellas","1"
"Missing","St. Lucie","1"
"Okahumpka","Lake","1"
"Oakland","Orange","1"
"San Mateo","Putnam","1"
"Tice","Lee","1"
"Tyndall Air Force Base","Bay","1"
"Bayshore Gardens","Manatee","1"
"Azalea Park","Orange","1"
"Cudjoe Key","Monroe","1"
"Gibsonia","Polk","1"
"Eastpoint","Franklin","1"
"Edgewood","Orange","1"
"Unk","Dade","1"
"Valkaria","Brevard","1"
"West Bradenton","Manatee","1"
"West Villages","Sarasota","1"
"Siesta Key","Sarasota","1"
"The Villages","Marion","1"
"Tierra Verde","Pinellas","1"
"Laud-By-The-Sea","Broward","1"
"Jupiter","Duval","1"
"Indian Shores","Pinellas","1"
"Hawthorne","Putnam","1"
"Captiva","Lee","1"
"North Redington Beach","Pinellas","1"
"Ochopee","Collier","1"
"Palm Beach Shores","Palm Beach","1"
"Orlando","Unknown","1"
"Pierson","Volusia","1"
"Princeton","Dade","1"
"Loxahatchee Groves","Palm Beach","1"
"Miami","Unknown","1"
"Missing","Jackson","1"
"Fl","Broward","1"
"Elkton","St. Johns","1"
"Estero","Collier","1"
"Graceville","Holmes","1"
"Fort Mccoy","Marion","1"
"Clermont","Polk","1"
"Alafaya","Orange","1"
"Bradley","Polk","1"
"Boca Grande","Lee","1"
"Buckingham","Lee","1"
"Caryville","Washington","1"
"La Crosse","Alachua","1"
"Ponce Inlet","Volusia","1"
"North Venice","Sarasota","1"
"Oklawaha","Marion","1"
"Parker","Bay","1"
"Pembroke Park","Broward","1"
"Pine Hills","Orange","1"
"Switzerland","St. Johns","1"
"Tampa Palms","Hillsborough","1"
"Unknown","Columbia","1"
"Welaka","Putnam","1"
"Perth Amboy","Hillsborough","1"
"Mcdavid","Escambia","1"
"Missing","Dixie","1"
"Missing","Gadsden","1"
"Destin","Walton","1"
"Bokeelia","Lee","1"
"Aloma","Orange","1"
"Alva","Escambia","1"
"Steinhatchee","Dixie","1"
"Treasure Island","Pinellas","1"
"Tallevast","Manatee","1"
"Atlantis","Unknown","1"
"Alpharetta","Broward","1"
"Dania Beach","Broward","1"
"Ft Pierce","St. Lucie","1"
"Gulf Breeze","Escambia","1"
"Indian Lake Estates","Polk","1"
